Date,Open,High,Low,Close,Volume
"Jul 5, 2017",924.20,936.29,918.63,932.26,"2,094,055"
"Jul 3, 2017",933.22,934.24,915.31,919.46,"1,694,811"
"Jun 30, 2017",943.99,945.00,929.61,929.68,"2,287,662"
"Jun 29, 2017",951.35,951.66,929.60,937.82,"3,206,674"
"Jun 28, 2017",950.66,963.24,936.16,961.01,"2,745,568"
"Jun 27, 2017",961.60,967.22,947.09,948.09,"2,443,602"
"Jun 26, 2017",990.00,993.99,970.33,972.09,"1,517,912"
